# object imagename zpt
2012ec wfpc2.f814w.ut011106_0003.drz.fits 28.36738510316261
2013by wfc3.f555w.ut210207_0002.drz.fits 32.91498042740249
2013cc acs.f606w.ut200321_0003.drz.fits 33.716442163912475
2013cc wfc3.f814w.ut220104_0004.drz.fits 32.343695253746574
2013cc wfpc2.f547m.ut010714_0002.drz.fits 29.94457987350194
2013cc wfpc2.f606w.ut010222_0001.drz.fits 29.881148032622306
2013ej acs.f435w.ut031120_0003.drz.fits 34.86451799560885
2013ej acs.f435w.ut050615_0006.drz.fits 32.933872508638146
2013ej acs.f555w.ut031120_0002.drz.fits 34.08041570620625
2013ej acs.f555w.ut031229_0004.drz.fits 34.03998243486269
2013ej acs.f555w.ut050616_0008.drz.fits 32.86454079781916
2013ej acs.f814w.ut031120_0001.drz.fits 33.935226144554555
2013ej acs.f814w.ut050616_0007.drz.fits 33.09301614179254
2013ej acs.f814w.ut190622_0025.drz.fits 34.25518050638844
2013ej wfc3.f275w.ut131017_0009.drz.fits 32.591357995866225
2013ej wfc3.f275w.ut151228_0015.drz.fits 32.75530853149697
2013ej wfc3.f275w.ut151229_0016.drz.fits 31.93947220189547
2013ej wfc3.f336w.ut131017_0010.drz.fits 32.311427558541794
2013ej wfc3.f336w.ut151228_0014.drz.fits 33.288592915290266
2013ej wfc3.f336w.ut151229_0017.drz.fits 32.470141372111634
2013ej wfc3.f438w.ut151229_0018.drz.fits 31.969847524667898
2013ej wfc3.f547m.ut141014_0013.drz.fits 31.60102306265372
2013ej wfc3.f555w.ut131017_0011.drz.fits 33.26257079749705
2013ej wfc3.f555w.ut161004_0022.drz.fits 32.923533508491545
2013ej wfc3.f555w.ut171204_0024.drz.fits 32.9212304933628
2013ej wfc3.f555w.ut210819_0027.drz.fits 32.913937626051926
2013ej wfc3.f657n.ut141014_0012.drz.fits 30.624704223507532
2013ej wfc3.f814w.ut151229_0020.drz.fits 32.543253544387326
2013ej wfc3.f814w.ut161004_0021.drz.fits 32.35002747575198
2013ej wfc3.f814w.ut171204_0023.drz.fits 32.34861909099194
2013ej wfc3.f814w.ut210819_0026.drz.fits 32.34415375955817
2013ej wfpc2.f336w.ut050216_0005.drz.fits 29.822660564319392
2014ce wfc3.f275w.ut201009_0004.drz.fits 32.19466068790627
2014ce wfpc2.f555w.ut961015_0001.drz.fits 30.26988880628329
2014ce wfpc2.f814w.ut961015_0002.drz.fits 29.362235124842705
2014cy wfpc2.f336w.ut950709_0004.drz.fits 28.925105707715225
2014cy wfpc2.f555w.ut950709_0002.drz.fits 29.275038784603197
2014cy wfpc2.f675w.ut950709_0003.drz.fits 29.00375016875677
2014cy wfpc2.f814w.ut950709_0005.drz.fits 29.185782439128438
2016bkv wfc3.f606w.ut131112_0003.drz.fits 32.47412578585924
2016bkv wfc3.f814w.ut201213_0005.drz.fits 32.344986471554506
2016bkv wfpc2.f555w.ut010124_0002.drz.fits 29.68468079119987
2016bkv wfpc2.f606w.ut940609_0001.drz.fits 28.520977921746617
2016cok acs.f435w.ut041230_0006.drz.fits 33.1771696354056
2016cok acs.f555w.ut091214_0007.drz.fits 32.49816320337371
2016cok acs.f658n.ut041230_0005.drz.fits 30.457727822984182
2016cok acs.f814w.ut091214_0008.drz.fits 32.73123508683317
2016cok acs.f814w.ut190417_0011.drz.fits 34.25120417294197
2016cok wfc3.f275w.ut191111_0015.drz.fits 32.500833708891555
2016cok wfc3.f336w.ut191111_0014.drz.fits 32.30076908621105
2016cok wfc3.f438w.ut191111_0013.drz.fits 32.37283826196721
2016cok wfc3.f555w.ut131128_0009.drz.fits 33.42310083822978
2016cok wfc3.f814w.ut131128_0010.drz.fits 32.74530048983926
2016cok wfc3.f814w.ut191111_0012.drz.fits 32.41377033796958
2016cok wfpc2.f555w.ut010304_0003.drz.fits 29.68468079119987
2016cok wfpc2.f606w.ut011126_0004.drz.fits 29.881148032622306
2016cok wfpc2.f606w.ut941228_0001.drz.fits 28.520977921746617
2016cok wfpc2.f814w.ut010224_0002.drz.fits 29.217255257398488
2016gfy wfc3.f336w.ut190822_0009.drz.fits 33.30387955953715
2016gfy wfc3.f438w.ut190820_0008.drz.fits 33.442779336141065
2016gfy wfc3.f555w.ut190801_0006.drz.fits 34.41238246187472
2016gfy wfc3.f814w.ut190731_0005.drz.fits 33.73895679868162
2016gfy wfpc2.f300w.ut990222_0001.drz.fits 28.027227785997287
2016gfy wfpc2.f555w.ut070524_0003.drz.fits 29.228830270368164
2016gfy wfpc2.f606w.ut010605_0002.drz.fits 29.881148032622306
2016gfy wfpc2.f814w.ut070524_0004.drz.fits 29.217255257398488
2017ahn wfc3.f814w.ut210329_0001.drz.fits 32.344631775488395
2017eaw acs.f435w.ut201111_0019.drz.fits 35.91854192962224
2017eaw acs.f606w.ut161026_0007.drz.fits 34.95236073014806
2017eaw acs.f606w.ut201111_0018.drz.fits 34.53607132193221
2017eaw acs.f606w.ut201112_0020.drz.fits 34.53606949376005
2017eaw acs.f814w.ut040729_0001.drz.fits 31.901741641304138
2017eaw acs.f814w.ut161026_0008.drz.fits 34.46174669594346
2017eaw wfc3.f110w.ut160209_0004.drz.fits 33.46612036687242
2017eaw wfc3.f128n.ut160209_0003.drz.fits 30.829218018587788
2017eaw wfc3.f160w.ut161024_0006.drz.fits 32.43439200452037
2017eaw wfc3.f164n.ut161024_0005.drz.fits 31.338639029824353
2017eaw wfc3.f275w.ut201103_0015.drz.fits 33.536447168216526
2017eaw wfc3.f336w.ut201103_0014.drz.fits 33.24114179258796
2017eaw wfc3.f547m.ut190127_0013.drz.fits 32.66300314609155
2017eaw wfc3.f555w.ut180105_0010.drz.fits 32.92105679643431
2017eaw wfc3.f555w.ut201111_0017.drz.fits 32.915456582343126
2017eaw wfc3.f555w.ut220212_0022.drz.fits 32.91298621837928
2017eaw wfc3.f657n.ut190127_0011.drz.fits 31.283096685671207
2017eaw wfc3.f673n.ut190127_0012.drz.fits 31.548984312117554
2017eaw wfc3.f814w.ut180105_0009.drz.fits 32.34851379242778
2017eaw wfc3.f814w.ut201111_0016.drz.fits 32.34509056968715
2017eaw wfc3.f814w.ut220212_0021.drz.fits 32.343566738133916
2017jmk acs.f814w.ut060809_0001.drz.fits 34.26793422005695
2017jmk wfc3.f160w.ut171010_0009.drz.fits 34.39345129216129
2017jmk wfc3.f160w.ut171110_0016.drz.fits 34.39345129216129
2017jmk wfc3.f160w.ut171230_0028.drz.fits 34.39345129216129
